language1,language2,paradigm1,paradigm2,common_actors
Vala,Elm,undefined,declarative,0
Vala,PLpgSQL,undefined,declarative,0
Vala,Nix,undefined,declarative,0
Shell,Roff,scripted,undefined,6
Shell,SaltStack,scripted,undefined,18
Shell,Vala,scripted,undefined,3
Shell,Shell,scripted,scripted,5531
Shell,PowerShell,scripted,scripted,21
Shell,Vim script,scripted,scripted,20
Shell,Emacs Lisp,scripted,scripted,9
Shell,Batchfile,scripted,scripted,11
Shell,PHP,scripted,procedural,217
Shell,C++,scripted,procedural,218
Shell,JavaScript,scripted,oob,635
Shell,Python,scripted,oob,825
Shell,Java,scripted,oob,369
Shell,Ruby,scripted,oob,325
Shell,C#,scripted,oob,39
Shell,TypeScript,scripted,oob,66
Shell,Objective-C,scripted,oob,19
Shell,Jupyter Notebook,scripted,oob,52
Shell,Kotlin,scripted,oob,11
Shell,Dart,scripted,oob,3
Shell,Go,scripted,multi,335
Shell,Swift,scripted,multi,24
Shell,Scala,scripted,multi,59
Shell,R,scripted,multi,18
Shell,Rust,scripted,multi,36
Shell,Perl,scripted,multi,49
Shell,Lua,scripted,multi,34
Shell,CoffeeScript,scripted,multi,20
Shell,Matlab,scripted,multi,2
Shell,Julia,scripted,multi,7
Shell,Visual Basic,scripted,multi,5
Shell,D,scripted,multi,8
Shell,F#,scripted,multi,1
Shell,Assembly,scripted,machine,5
Shell,C,scripted,imperative,221
Shell,Arduino,scripted,imperative,3
Shell,Fortran,scripted,imperative,5
Shell,Elixir,scripted,functional,13
Shell,Groovy,scripted,functional,76
Shell,Haskell,scripted,functional,20
Shell,Clojure,scripted,functional,10
Shell,Erlang,scripted,functional,20
Shell,OCaml,scripted,functional,13
Shell,Common Lisp,scripted,functional,4
Shell,HTML,scripted,declarative,402
Shell,CSS,scripted,declarative,244
Shell,XSLT,scripted,declarative,22
Shell,Elm,scripted,declarative,3
Shell,PLpgSQL,scripted,declarative,10
Shell,Nix,scripted,declarative,1
PowerShell,Roff,scripted,undefined,0
PowerShell,SaltStack,scripted,undefined,1
PowerShell,Vala,scripted,undefined,0
PowerShell,Shell,scripted,scripted,21
PowerShell,PowerShell,scripted,scripted,612
PowerShell,Vim script,scripted,scripted,1
PowerShell,Emacs Lisp,scripted,scripted,1
PowerShell,Batchfile,scripted,scripted,4
PowerShell,PHP,scripted,procedural,5
PowerShell,C++,scripted,procedural,15
PowerShell,JavaScript,scripted,oob,44
PowerShell,Python,scripted,oob,30
PowerShell,Java,scripted,oob,9
PowerShell,Ruby,scripted,oob,17
PowerShell,C#,scripted,oob,70
PowerShell,TypeScript,scripted,oob,15
PowerShell,Objective-C,scripted,oob,1
PowerShell,Jupyter Notebook,scripted,oob,0
PowerShell,Kotlin,scripted,oob,0
PowerShell,Dart,scripted,oob,1
PowerShell,Go,scripted,multi,8
PowerShell,Swift,scripted,multi,1
PowerShell,Scala,scripted,multi,1
PowerShell,R,scripted,multi,0
PowerShell,Rust,scripted,multi,1
PowerShell,Perl,scripted,multi,1
PowerShell,Lua,scripted,multi,2
PowerShell,CoffeeScript,scripted,multi,3
PowerShell,Matlab,scripted,multi,0
PowerShell,Julia,scripted,multi,1
PowerShell,Visual Basic,scripted,multi,2
PowerShell,D,scripted,multi,1
PowerShell,F#,scripted,multi,3
PowerShell,Assembly,scripted,machine,0
PowerShell,C,scripted,imperative,8
PowerShell,Arduino,scripted,imperative,0
PowerShell,Fortran,scripted,imperative,0
PowerShell,Elixir,scripted,functional,0
PowerShell,Groovy,scripted,functional,2
PowerShell,Haskell,scripted,functional,0
PowerShell,Clojure,scripted,functional,2
PowerShell,Erlang,scripted,functional,1
PowerShell,OCaml,scripted,functional,0
PowerShell,Common Lisp,scripted,functional,0
